,City,Country,Max Temp,Lat,Lng,Hotel Name
317,Hambantota,LK,78.8,6.12,81.12,Bungalow 63
318,Atlantic City,US,37.99,39.36,-74.42,Resorts Casino Hotel
320,Mercedes,AR,70.0,-34.65,-59.43,Posada del Inti Centro
321,Buluang,PH,87.22,13.31,123.34,Enon Beach Resort
322,Wajima,JP,30.2,37.4,136.9,Wajiima Onsen Yashio
323,Aleksandrov Gay,RU,13.89,50.15,48.57,Gostinitsa I.p. Yes'kov A.v
324,Pitimbu,BR,77.0,-7.47,-34.81,Reserva do Abiaí
325,Tashtyp,RU,21.13,52.79,89.9,Oblachnyye Glubiny Orden Gusu Lan'
326,Teguise,ES,64.4,29.06,-13.56,B&B La Casona de Nazaret
328,Meulaboh,ID,84.0,4.14,96.13,Kost Pria
329,Alto Araguaia,BR,69.12,-17.31,-53.22,Araguaia Palace Hotel
330,Carutapera,BR,77.36,-1.2,-46.02,Lidera
331,Challapata,BO,52.07,-18.9,-66.77,HOSTAL MARIAN
332,Pirgos,GR,60.01,35.12,25.72,Daios Cove
333,Gravdal,NO,36.28,68.12,13.5,Skreda Rorbusuiter
334,Dzaoudzi,YT,82.4,-12.79,45.27,Le Rocher
335,Maharajganj,IN,64.92,27.13,83.57,Pt. Deen Dayal Hostel
336,Warrington,GB,43.0,53.39,-2.58,Patten Arms Hotel
337,Rumonge,BI,69.37,-3.97,29.44,Iratiro Tours
338,Nishihara,JP,64.4,26.18,127.76,Minshuku Agaihama
339,Axim,GH,77.85,4.87,-2.24,AXIM BEACH RESORT AND SPA
340,Huarmey,PE,67.87,-10.07,-78.15,Hotel Miramar
341,Mount Isa,AU,100.4,-20.73,139.5,ibis Styles Mt Isa Verona
342,Conde,BR,77.0,-7.26,-34.91,Pousada Beija Flor
343,Poronaysk,RU,15.01,49.22,143.12,Avtovokzal Khostel Stolovaya
344,Dunedin,NZ,64.31,-45.87,170.5,Scenic Hotel Southern Cross
345,Ploemeur,FR,50.0,47.73,-3.43,Best Western Plus Hotel Les Rives Du Ter
346,Esmeraldas,BR,71.6,-19.76,-44.31,Bom Será - Marcinho e Fernanda
347,Noyabrsk,RU,-21.01,63.2,75.45,Hotel Uyutnaya
349,Sioux Lookout,CA,-5.8,50.1,-91.92,Knobby's Fly-In Camps
350,Alofi,NU,77.0,-19.06,-169.92,Taloa Heights
351,Banda Aceh,ID,82.0,5.56,95.32,Sulthan Hotel International
352,Gandu,BR,67.01,-13.74,-39.49,Pousada Duarte
353,Fayetteville,US,44.6,35.05,-78.88,American Eagle Inn
354,Auki,SB,86.09,-8.77,160.7,Auki Motel
355,Da Nang,VN,80.6,16.07,108.22,Sun River Hotel
356,Riberalta,BO,73.0,-10.98,-66.1,Hotel Colonial
357,Icod De Los Vinos,ES,66.0,28.37,-16.71,Hotel Rural El Patio
358,Faanui,PF,80.2,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
359,Tranas,SE,41.0,58.04,14.98,Badhotellet Spa & Konferens Hotel
360,Atasu,KZ,1.87,48.68,71.64,Dostyk
361,Qianguo,CN,-0.02,45.12,124.86,Guo'er Luosi Hotel
362,Kalabo,ZM,64.6,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
363,Nabire,ID,86.36,-3.37,135.48,Hotel Nusantara Nabire
364,Komsomolskiy,UZ,30.2,40.43,71.72,Ikathouse
366,Kota Belud,MY,87.8,6.35,116.43,Tang Dynasty Lodge Kota Belud
367,Cabedelo,BR,77.0,-6.98,-34.83,Hotel Pigalle
368,Moose Factory,CA,-9.4,51.26,-80.61,Moosonee Lilypad
369,Lompoc,US,48.99,34.64,-120.46,Holiday Inn Express Lompoc
371,Pimenta Bueno,BR,71.98,-11.67,-61.19,Cristalina Palace Hotel
372,Palaikastron,GR,60.01,35.2,26.25,Marina Village
373,Chiredzi,ZW,73.8,-21.05,31.67,The Nesbitt Arms
374,Xunchang,CN,41.38,28.45,104.72,Jiabin Inn
375,Gasa,PS,57.0,31.5,34.47,رابطة الفنانين الفلسطينيين
376,Swan River,CA,-0.4,52.11,-101.27,Super 8 by Wyndham Swan River MB
377,Esil,KZ,4.53,51.96,66.4,Egorkino Hotel
378,Vila Velha,BR,77.0,-20.33,-40.29,Quality Suites Vila Velha
379,Yining,CN,41.74,29.04,114.56,Xiushui Hotel
380,La Rochelle,FR,51.8,46.17,-1.15,Maisons du Monde Hôtel & Suites La Rochelle Vieux Port
381,Naze,JP,62.6,28.37,129.48,奄美ポートタワーホテル
382,Lardos,GR,57.99,36.09,28.02,Lindos Princess Beach Hotel
384,Pontianak,ID,88.81,-0.03,109.33,Aston Pontianak Hotel & Convention Center
385,Tual,ID,83.32,-5.67,132.75,Grand Vilia Hotel
386,Kenai,US,28.4,60.55,-151.26,Aspen Extended Stay Suites
387,Willowmore,ZA,59.56,-33.29,23.49,Jumper's Place
388,Palembang,ID,84.2,-2.92,104.75,Penginapan Yakin
389,Rouvroy,FR,51.01,50.39,2.9,La cabane de Lena
392,Labuhan,ID,82.35,-6.88,112.21,bador sepret
393,Veisiejai,LT,30.2,54.1,23.7,Cozy remote cabin on a lakeshore
395,Alcains,PT,48.0,39.92,-7.46,Casa do Balcão
396,Maxixe,MZ,69.8,-23.86,35.35,Oceano
397,Huilong,CN,41.0,31.81,121.66,Hilton Garden Inn Qidong
399,Kholm-Zhirkovskiy,RU,21.51,55.52,33.47,"Гостиница ""Motel"""
400,Ambilobe,MG,79.25,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
401,Olinda,BR,77.0,-8.01,-34.86,Pousada Sitio Do Carmo
402,Sillamae,EE,29.32,59.4,27.75,Hotel Krunk
404,Biloela,AU,86.79,-24.42,150.5,Silo Motor Inn
405,Souillac,MU,77.0,-20.52,57.52,Bils' Villa
406,Juneau,US,33.8,58.3,-134.42,"Baranof Downtown, Bw Signature Collection"
407,Talcahuano,CL,55.4,-36.72,-73.12,Hotel Terramar
408,Zhigansk,RU,-32.19,66.77,123.37,Gostinichnyy Kompleks Aylgy
409,Manokwari,ID,81.81,-0.87,134.08,Swiss Belhotel Manokwari
410,Altay,CN,5.36,47.87,88.12,Jinqiao Hotel
411,Guaymas,MX,55.99,27.93,-110.9,Hotel Armida
